Date,Price
2018-10-21,205.0
2018-10-22,203.64
2018-10-23,203.29
2018-10-24,202.58
2018-10-25,201.7
2018-10-26,202.43
2018-10-27,203.29
2018-10-28,204.54
2018-10-29,195.92
2018-10-30,196.65
2018-10-31,198.02
2018-11-01,198.97
2018-11-02,201.11
2018-11-03,199.9
2018-11-04,211.54
2018-11-05,209.55
2018-11-06,219.34
2018-11-07,217.44
2018-11-08,211.69
2018-11-09,209.52
2018-11-10,212.04
2018-11-11,211.66
2018-11-12,210.31
2018-11-13,205.9
2018-11-14,182.72
2018-11-15,181.53
2018-11-16,174.96
2018-11-17,174.47
2018-11-18,177.39
2018-11-19,148.22
2018-11-20,130.74
2018-11-21,136.5
2018-11-22,125.08
2018-11-23,123.37
2018-11-24,112.66
2018-11-25,116.75
2018-11-26,108.87
2018-11-27,109.87
2018-11-28,122.88
2018-11-29,117.76
2018-11-30,112.91
2018-12-01,118.24
2018-12-02,116.24
2018-12-03,108.32
2018-12-04,109.77
2018-12-05,101.85
2018-12-06,90.43
2018-12-07,93.61
2018-12-08,91.68
2018-12-09,94.49
2018-12-10,90.77
2018-12-11,88.32
2018-12-12,90.38
2018-12-13,86.4
2018-12-14,84.12
2018-12-15,84.3
2018-12-16,85.39
2018-12-17,95.06
2018-12-18,101.93
2018-12-19,100.63
2018-12-20,116.43
2018-12-21,109.4
2018-12-22,117.72
2018-12-23,131.45
2018-12-24,140.87
2018-12-25,130.99
2018-12-26,131.71
2018-12-27,116.72
2018-12-28,139.73
2018-12-29,137.04
2018-12-30,141.04
2018-12-31,133.14
2019-01-01,141.9
2019-01-02,156.1
2019-01-03,149.1
2019-01-04,156.04
2019-01-05,156.22
2019-01-06,158.29
2019-01-07,152.25
2019-01-08,150.68
2019-01-09,151.21
2019-01-10,127.96
2019-01-11,126.99
2019-01-12,126.05
2019-01-13,116.66
2019-01-14,129.71
2019-01-15,121.38
2019-01-16,123.31
2019-01-17,124.05
2019-01-18,120.79
2019-01-19,124.8
2019-01-20,118.48
2019-01-21,117.12
2019-01-22,118.83
2019-01-23,117.09
2019-01-24,117.28
2019-01-25,115.73
2019-01-26,116.38
2019-01-27,112.59
2019-01-28,106.02
2019-01-29,104.74
2019-01-30,108.52
2019-01-31,106.46
2019-02-01,106.72
2019-02-02,110.56
2019-02-03,107.04
2019-02-04,106.61
2019-02-05,106.57
2019-02-06,104.26
2019-02-07,103.69
2019-02-08,119.24
2019-02-09,118.84
2019-02-10,125.22
2019-02-11,120.26
2019-02-12,121.87
2019-02-13,121.73
2019-02-14,120.44
2019-02-15,120.71
2019-02-16,122.62
