Date,Price
2020-07-22,1.046
2020-07-23,1.052
2020-07-24,0.999
2020-07-25,1.255
2020-07-26,1.57
2020-07-27,1.738
2020-07-28,1.79
2020-07-29,1.655
2020-07-30,1.683
2020-07-31,1.522
2020-08-01,1.53
2020-08-02,1.73
2020-08-03,1.802
2020-08-04,1.86
2020-08-05,1.749
2020-08-06,2.19
2020-08-07,2.083
2020-08-08,2.465
2020-08-09,2.663
2020-08-10,3.12
2020-08-11,3.277
2020-08-12,3.708
2020-08-13,3.72
2020-08-14,3.4
2020-08-15,3.167
2020-08-16,3.39
2020-08-17,3.105
2020-08-18,3.335
2020-08-19,2.93
2020-08-20,3.22
2020-08-21,3.0
2020-08-22,3.047
2020-08-23,3.275
2020-08-24,3.33
2020-08-25,3.26
2020-08-26,3.55
2020-08-27,3.442
2020-08-28,3.995
2020-08-29,3.95
2020-08-30,4.42
2020-08-31,4.81
2020-09-01,4.317
2020-09-02,4.185
2020-09-03,3.493
2020-09-04,3.553
2020-09-05,2.567
2020-09-06,3.038
2020-09-07,2.947
2020-09-08,2.466
2020-09-09,3.6
2020-09-10,3.445
2020-09-11,3.403
2020-09-12,3.322
2020-09-13,3.263
2020-09-14,3.265
2020-09-15,2.902
2020-09-16,2.547
2020-09-17,2.9
2020-09-18,3.124
2020-09-19,3.009
2020-09-20,2.886
2020-09-21,2.779
2020-09-22,2.95
2020-09-23,2.832
2020-09-24,3.144
2020-09-25,3.193
2020-09-26,3.143
2020-09-27,3.163
2020-09-28,2.952
2020-09-29,2.949
2020-09-30,2.896
2020-10-01,2.865
2020-10-02,2.626
2020-10-03,2.55
2020-10-04,2.526
2020-10-05,2.651
2020-10-06,2.172
2020-10-07,2.289
2020-10-08,2.389
2020-10-09,2.567
2020-10-10,2.406
2020-10-11,2.399
2020-10-12,2.587
2020-10-13,2.408
2020-10-14,2.315
2020-10-15,2.264
2020-10-16,2.136
2020-10-17,2.21
2020-10-18,2.213
2020-10-19,2.062
2020-10-20,1.895
2020-10-21,1.886
2020-10-22,1.958
2020-10-23,1.959
2020-10-24,1.917
2020-10-25,1.799
2020-10-26,1.686
2020-10-27,1.722
2020-10-28,1.52
2020-10-29,1.416
2020-10-30,1.435
2020-10-31,1.54
2020-11-01,1.603
2020-11-02,1.484
2020-11-03,1.413
2020-11-04,1.396
2020-11-05,1.411
2020-11-06,1.909
2020-11-07,2.034
2020-11-08,2.16
2020-11-09,2.022
2020-11-10,2.225
2020-11-11,1.996
2020-11-12,1.917
2020-11-13,2.029
2020-11-14,1.929
2020-11-15,2.05
2020-11-16,2.272
2020-11-17,2.207
2020-11-18,2.124
2020-11-19,2.079
2020-11-20,2.098
2020-11-21,2.393
2020-11-22,2.152
2020-11-23,2.281
2020-11-24,2.259
2020-11-25,2.271
2020-11-26,1.907
2020-11-27,1.87
2020-11-28,1.894
2020-11-29,1.917
2020-11-30,1.968
2020-12-01,1.977
2020-12-02,2.118
2020-12-03,2.098
2020-12-04,1.849
2020-12-05,1.98
2020-12-06,1.853
2020-12-07,1.829
2020-12-08,1.671
2020-12-09,1.666
2020-12-10,1.567
2020-12-11,1.439
2020-12-12,1.492
2020-12-13,1.566
2020-12-14,1.588
2020-12-15,1.758
2020-12-16,1.786
2020-12-17,1.681
2020-12-18,1.697
2020-12-19,1.668
2020-12-20,1.562
2020-12-21,1.543
2020-12-22,1.493
2020-12-23,1.21
2020-12-24,1.364
2020-12-25,1.448
2020-12-26,1.327
2020-12-27,1.304
2020-12-28,1.516
2020-12-29,1.67
2020-12-30,1.536
2020-12-31,1.51
2021-01-01,1.847
2021-01-02,1.799
2021-01-03,2.185
2021-01-04,2.491
2021-01-05,2.158
2021-01-06,1.925
2021-01-07,2.36
2021-01-08,3.225
2021-01-09,3.381
2021-01-10,3.471
2021-01-11,3.118
2021-01-12,3.737
2021-01-13,3.647
2021-01-14,3.326
2021-01-15,3.245
2021-01-16,3.449
2021-01-17,3.824
2021-01-18,3.798
2021-01-19,3.635
2021-01-20,3.736
2021-01-21,2.997
2021-01-22,3.329
2021-01-23,3.517
2021-01-24,3.644
2021-01-25,3.7
2021-01-26,4.031
2021-01-27,3.693
