2026-01-21 07:51:38,840 - ERROR - Error getting ETH balance: 'BinanceTradingBot' object has no attribute 'symbol'
2026-01-21 07:51:39,276 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 07:56:20,870 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 08:30:25,423 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 08:52:34,380 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 09:05:00,918 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 09:23:56,244 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 10:14:32,288 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 10:17:46,117 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 10:20:30,693 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 10:26:58,838 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 10:37:10,708 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
2026-01-21 10:41:15,845 - WARNING - Trade log indicates a buy, but already holding ETH. Not resuming.
